# Residuals   
# Time        	p             	Ux            	Uz            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.05          	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	2.054670e-03
0.1           	1.458469e-03	9.935937e-01	3.308391e-01	1.601378e-02	7.688911e-04
0.15          	1.947423e-01	6.037305e-02	6.112871e-02	1.590852e-02	7.520600e-04
0.2           	1.304997e-01	4.138673e-02	3.142260e-02	1.576845e-02	7.353955e-04
0.25          	9.775397e-02	3.553590e-02	2.264322e-02	1.561864e-02	7.184397e-04
0.3           	8.349441e-02	3.156287e-02	1.864064e-02	1.547116e-02	7.012628e-04
0.35          	7.221217e-02	2.867035e-02	1.592338e-02	1.531995e-02	6.841343e-04
0.4           	6.119258e-02	2.652702e-02	1.381111e-02	1.516881e-02	6.670309e-04
0.45          	5.451622e-02	2.487222e-02	1.212669e-02	1.501890e-02	6.500683e-04
0.5           	4.849012e-02	2.352829e-02	1.077409e-02	1.487038e-02	6.333882e-04
0.55          	4.286019e-02	2.244649e-02	9.844935e-03	1.472354e-02	6.171215e-04
0.6           	3.829040e-02	2.160838e-02	9.085110e-03	1.457885e-02	6.011712e-04
0.65          	3.501014e-02	2.095811e-02	8.447000e-03	1.443646e-02	5.855032e-04
0.7           	3.218086e-02	2.038765e-02	7.913474e-03	1.429655e-02	5.701471e-04
0.75          	2.958065e-02	1.987398e-02	7.459741e-03	1.415911e-02	5.551439e-04
0.8           	2.738827e-02	1.940826e-02	7.094435e-03	1.402411e-02	5.405075e-04
0.85          	2.549142e-02	1.897733e-02	6.779145e-03	1.389142e-02	5.262584e-04
0.9           	2.395838e-02	1.857753e-02	6.494619e-03	1.375982e-02	5.124085e-04
0.95          	2.258897e-02	1.820017e-02	6.228294e-03	1.363012e-02	4.989728e-04
1             	2.131385e-02	1.774760e-02	5.982788e-03	1.350293e-02	4.859458e-04
1.05          	2.002692e-02	1.722574e-02	5.758816e-03	1.337755e-02	4.733031e-04
1.1           	1.896734e-02	1.667543e-02	5.565634e-03	1.325400e-02	4.610313e-04
