# Residuals   
# Time        	p             	Ux            	Uz            	k             	epsilon       
3.55          	7.102318e-03	5.498403e-03	3.515982e-03	1.719526e-02	1.263802e-02
3.6           	7.105735e-03	5.416094e-03	3.498755e-03	1.707052e-02	1.245159e-02
3.65          	7.025717e-03	5.335230e-03	3.479905e-03	1.686795e-02	1.225149e-02
3.7           	6.912612e-03	5.257058e-03	3.460482e-03	1.664927e-02	1.219837e-02
3.75          	7.047065e-03	5.180470e-03	3.440777e-03	1.652407e-02	1.208936e-02
3.8           	6.796667e-03	5.106575e-03	3.426687e-03	1.643766e-02	1.194226e-02
3.85          	6.888291e-03	5.034158e-03	3.408784e-03	1.631351e-02	1.176378e-02
3.9           	6.823583e-03	4.963927e-03	3.391986e-03	1.611895e-02	1.159726e-02
3.95          	6.940885e-03	4.895141e-03	3.375336e-03	1.591330e-02	1.153179e-02
4             	6.957023e-03	4.828032e-03	3.356317e-03	1.579740e-02	1.141722e-02
4.05          	6.766680e-03	4.762879e-03	3.341553e-03	1.570478e-02	1.127214e-02
4.1           	6.728431e-03	4.699248e-03	3.324800e-03	1.558017e-02	1.110091e-02
4.15          	6.827254e-03	4.637022e-03	3.309095e-03	1.539391e-02	1.095918e-02
4.2           	6.804084e-03	4.576385e-03	3.291313e-03	1.520053e-02	1.088317e-02
4.25          	6.783776e-03	4.516844e-03	3.274125e-03	1.509062e-02	1.076563e-02
4.3           	6.773389e-03	4.458912e-03	3.257759e-03	1.499429e-02	1.061951e-02
4.35          	6.833436e-03	4.402195e-03	3.240965e-03	1.486944e-02	1.045541e-02
4.4           	6.695582e-03	4.346997e-03	3.226688e-03	1.468932e-02	1.033188e-02
4.45          	6.761412e-03	4.292910e-03	3.208589e-03	1.450610e-02	1.024745e-02
4.5           	6.924696e-03	4.239929e-03	3.190674e-03	1.440336e-02	1.012871e-02
4.55          	6.769638e-03	4.188143e-03	3.176165e-03	1.430354e-02	9.988036e-03
4.6           	6.749428e-03	4.137455e-03	3.159494e-03	1.417880e-02	9.832735e-03
4.65          	6.828197e-03	4.087622e-03	3.142526e-03	1.400511e-02	9.721790e-03
4.7           	6.877958e-03	4.038796e-03	3.125883e-03	1.383198e-02	9.632918e-03
4.75          	6.957294e-03	3.990845e-03	3.108133e-03	1.373429e-02	9.515122e-03
4.8           	6.964139e-03	3.944024e-03	3.093925e-03	1.363188e-02	9.379133e-03
4.85          	7.135329e-03	3.897997e-03	3.076472e-03	1.350619e-02	9.232612e-03
4.9           	6.895697e-03	3.852950e-03	3.062563e-03	1.333619e-02	9.131737e-03
4.95          	6.885019e-03	3.808886e-03	3.046428e-03	1.317276e-02	9.039829e-03
5             	7.027677e-03	3.765730e-03	3.031314e-03	1.307891e-02	8.924766e-03
5.05          	6.941542e-03	3.723582e-03	3.016359e-03	1.297648e-02	8.786990e-03
5.1           	6.835837e-03	3.682105e-03	3.001733e-03	1.285198e-02	8.641728e-03
5.15          	6.937996e-03	3.641612e-03	2.985958e-03	1.268931e-02	8.542309e-03
5.2           	6.829283e-03	3.601758e-03	2.972414e-03	1.253566e-02	8.443587e-03
5.25          	6.995136e-03	3.562667e-03	2.955445e-03	1.244610e-02	8.325542e-03
5.3           	6.971166e-03	3.524052e-03	2.940088e-03	1.234465e-02	8.195869e-03
5.35          	6.882565e-03	3.486614e-03	2.929185e-03	1.222256e-02	8.061773e-03
5.4           	6.737070e-03	3.449542e-03	2.914355e-03	1.206664e-02	7.972354e-03
5.45          	6.666520e-03	3.413273e-03	2.899352e-03	1.192386e-02	7.876069e-03
5.5           	6.622911e-03	3.377585e-03	2.886324e-03	1.183635e-02	7.763967e-03
5.55          	6.652785e-03	3.342575e-03	2.871631e-03	1.173547e-02	7.641703e-03
5.6           	6.597386e-03	3.308098e-03	2.858353e-03	1.161567e-02	7.518616e-03
5.65          	6.493167e-03	3.274132e-03	2.842953e-03	1.146802e-02	7.436981e-03
5.7           	6.405747e-03	3.240684e-03	2.828780e-03	1.133487e-02	7.344087e-03
5.75          	6.614905e-03	3.207880e-03	2.813435e-03	1.124934e-02	7.237136e-03
5.8           	6.607441e-03	3.175430e-03	2.799391e-03	1.114864e-02	7.122988e-03
5.85          	6.690276e-03	3.143863e-03	2.786743e-03	1.103112e-02	7.010124e-03
5.9           	6.605844e-03	3.112408e-03	2.771911e-03	1.089142e-02	6.934076e-03
5.95          	6.493003e-03	3.081879e-03	2.759949e-03	1.076859e-02	6.844546e-03
6             	6.388661e-03	3.051625e-03	2.747452e-03	1.068456e-02	6.743505e-03
6.05          	6.570269e-03	3.022007e-03	2.732283e-03	1.058510e-02	6.635995e-03
6.1           	6.427478e-03	2.992722e-03	2.719411e-03	1.047026e-02	6.533206e-03
6.15          	6.501009e-03	2.964015e-03	2.704800e-03	1.033865e-02	6.460816e-03
6.2           	6.480255e-03	2.935611e-03	2.692110e-03	1.022589e-02	6.374909e-03
6.25          	6.516337e-03	2.907926e-03	2.678343e-03	1.014365e-02	6.279541e-03
6.3           	6.542003e-03	2.880353e-03	2.664547e-03	1.004681e-02	6.181452e-03
6.35          	6.656022e-03	2.853720e-03	2.650150e-03	9.935564e-03	6.088966e-03
6.4           	6.455199e-03	2.827207e-03	2.635045e-03	9.810482e-03	6.019157e-03
6.45          	6.780934e-03	2.801504e-03	2.620464e-03	9.707008e-03	5.937275e-03
6.5           	6.382666e-03	2.776082e-03	2.609290e-03	9.626083e-03	5.848131e-03
6.55          	6.381571e-03	2.751253e-03	2.595440e-03	9.532254e-03	5.757901e-03
6.6           	6.252599e-03	2.726524e-03	2.582113e-03	9.425322e-03	5.675639e-03
6.65          	6.296945e-03	2.702439e-03	2.566681e-03	9.307244e-03	5.608529e-03
6.7           	6.356932e-03	2.678496e-03	2.553485e-03	9.212637e-03	5.530737e-03
6.75          	6.369325e-03	2.655085e-03	2.539577e-03	9.140050e-03	5.448065e-03
6.8           	6.265351e-03	2.631773e-03	2.526895e-03	9.055616e-03	5.365187e-03
6.85          	6.353811e-03	2.609561e-03	2.511819e-03	8.959281e-03	5.291553e-03
6.9           	6.182139e-03	2.587680e-03	2.500471e-03	8.854304e-03	5.227313e-03
6.95          	6.331204e-03	2.566352e-03	2.486912e-03	8.771157e-03	5.154030e-03
7             	6.131101e-03	2.545057e-03	2.474325e-03	8.699707e-03	5.077359e-03
7.05          	6.170494e-03	2.524299e-03	2.461236e-03	8.618519e-03	5.001096e-03
7.1           	6.098829e-03	2.503657e-03	2.449198e-03	8.526404e-03	4.935561e-03
7.15          	6.072778e-03	2.483491e-03	2.434379e-03	8.428126e-03	4.874581e-03
7.2           	6.125547e-03	2.463485e-03	2.422473e-03	8.351213e-03	4.806279e-03
7.25          	6.233359e-03	2.443988e-03	2.409641e-03	8.281371e-03	4.736700e-03
7.3           	6.103844e-03	2.424368e-03	2.398308e-03	8.202295e-03	4.669071e-03
7.35          	6.044665e-03	2.405428e-03	2.385769e-03	8.114608e-03	4.612581e-03
7.4           	5.938557e-03	2.386435e-03	2.373134e-03	8.022041e-03	4.557617e-03
7.45          	5.937072e-03	2.368026e-03	2.360179e-03	7.950786e-03	4.496330e-03
7.5           	5.799441e-03	2.349575e-03	2.348336e-03	7.882808e-03	4.433615e-03
7.55          	5.921965e-03	2.331599e-03	2.335246e-03	7.807166e-03	4.370931e-03
7.6           	5.874282e-03	2.313761e-03	2.322695e-03	7.722986e-03	4.320010e-03
7.65          	5.890788e-03	2.296388e-03	2.309166e-03	7.636772e-03	4.268655e-03
7.7           	5.957929e-03	2.279056e-03	2.296694e-03	7.570881e-03	4.212527e-03
7.75          	5.982604e-03	2.262318e-03	2.286512e-03	7.505722e-03	4.155210e-03
7.8           	5.835777e-03	2.245497e-03	2.274787e-03	7.432753e-03	4.098348e-03
7.85          	5.843870e-03	2.229296e-03	2.262005e-03	7.352009e-03	4.052077e-03
7.9           	5.785693e-03	2.212981e-03	2.250758e-03	7.270586e-03	4.003995e-03
7.95          	5.899364e-03	2.197066e-03	2.238849e-03	7.209566e-03	3.952040e-03
8             	5.879598e-03	2.181055e-03	2.225993e-03	7.146212e-03	3.899520e-03
8.05          	5.853167e-03	2.165687e-03	2.216610e-03	7.077007e-03	3.847353e-03
8.1           	5.842610e-03	2.150225e-03	2.206767e-03	6.999361e-03	3.805048e-03
8.15          	5.758831e-03	2.135033e-03	2.195756e-03	6.923746e-03	3.759770e-03
8.2           	5.703117e-03	2.119979e-03	2.185422e-03	6.865696e-03	3.711821e-03
8.25          	5.731102e-03	2.105160e-03	2.172550e-03	6.805505e-03	3.663556e-03
8.3           	5.677111e-03	2.090554e-03	2.163469e-03	6.739251e-03	3.616345e-03
8.35          	5.710366e-03	2.076121e-03	2.152359e-03	6.666453e-03	3.577748e-03
8.4           	5.522660e-03	2.061819e-03	2.141655e-03	6.595661e-03	3.535733e-03
8.45          	5.560219e-03	2.047826e-03	2.130166e-03	6.541402e-03	3.491846e-03
8.5           	5.598825e-03	2.033943e-03	2.119221e-03	6.482950e-03	3.447698e-03
8.55          	5.754574e-03	2.020325e-03	2.108313e-03	6.420612e-03	3.405227e-03
8.6           	5.607534e-03	2.006567e-03	2.097789e-03	6.350964e-03	3.369560e-03
