# Time step   
# Time        	deltaT
1.70853       	3.511672e-03
1.71209       	3.554497e-03
1.71568       	3.598929e-03
1.71933       	3.645069e-03
1.72302       	3.693030e-03
1.72682       	3.794209e-03
1.73066       	3.847649e-03
1.73457       	3.903412e-03
1.73836       	3.791886e-03
1.7421        	3.737716e-03
1.74601       	3.907612e-03
1.7501        	4.096690e-03
1.7542        	4.096690e-03
1.75823       	4.029531e-03
1.76213       	3.899546e-03
1.76603       	3.899546e-03
1.76986       	3.835619e-03
1.77364       	3.772740e-03
1.77717       	3.536944e-03
1.78031       	3.138415e-03
1.78364       	3.328622e-03
1.78719       	3.546892e-03
1.79073       	3.546892e-03
1.79468       	3.948427e-03
1.79887       	4.190168e-03
1.80298       	4.104654e-03
1.80692       	3.940468e-03
1.8107        	3.785940e-03
1.81371       	3.004714e-03
1.81593       	2.217765e-03
1.81807       	2.140401e-03
1.82031       	2.246100e-03
1.82271       	2.395840e-03
1.82517       	2.462391e-03
1.82778       	2.609400e-03
1.83065       	2.870340e-03
1.83338       	2.731452e-03
1.83611       	2.731452e-03
1.83889       	2.777748e-03
1.84158       	2.685157e-03
1.84391       	2.329768e-03
1.8462        	2.295507e-03
1.84853       	2.330287e-03
1.85086       	2.330287e-03
1.85296       	2.100541e-03
1.85498       	2.014217e-03
1.85691       	1.933648e-03
1.85887       	1.960137e-03
1.86092       	2.045360e-03
1.86306       	2.139761e-03
1.86513       	2.074920e-03
1.86717       	2.043482e-03
1.86932       	2.142360e-03
1.87161       	2.292701e-03
1.87408       	2.469063e-03
1.87655       	2.469063e-03
1.87892       	2.374099e-03
1.88134       	2.421581e-03
1.88372       	2.373149e-03
1.88614       	2.422590e-03
1.88879       	2.647947e-03
1.89126       	2.471417e-03
1.89362       	2.363964e-03
1.89593       	2.312574e-03
1.8982        	2.262300e-03
1.90046       	2.262300e-03
1.90272       	2.262300e-03
1.90498       	2.262300e-03
1.90725       	2.262300e-03
1.90951       	2.262300e-03
1.91183       	2.320308e-03
1.91415       	2.320308e-03
1.91653       	2.384761e-03
1.91892       	2.384761e-03
1.92138       	2.457026e-03
1.92383       	2.457026e-03
1.92637       	2.538927e-03
1.929         	2.629603e-03
1.93163       	2.629603e-03
1.93416       	2.532211e-03
1.93669       	2.532211e-03
1.93923       	2.532211e-03
1.94176       	2.532211e-03
1.94441       	2.647311e-03
1.94705       	2.647311e-03
1.94946       	2.406646e-03
1.95166       	2.197373e-03
1.95386       	2.197373e-03
1.95605       	2.197373e-03
1.95825       	2.197373e-03
1.96057       	2.319449e-03
1.96289       	2.319449e-03
1.96536       	2.474079e-03
1.96767       	2.309140e-03
1.96969       	2.020498e-03
1.97171       	2.020498e-03
1.9736        	1.885798e-03
1.97563       	2.030859e-03
1.97766       	2.030859e-03
1.97989       	2.233945e-03
1.98213       	2.233945e-03
1.98436       	2.233945e-03
1.9866        	2.233945e-03
1.98883       	2.233945e-03
1.99106       	2.233945e-03
1.9933        	2.233945e-03
1.99553       	2.233945e-03
1.99777       	2.233945e-03
2             	2.233945e-03
2.00254       	2.544529e-03
2.00539       	2.849873e-03
2.00853       	3.137557e-03
2.0117        	3.167630e-03
2.01489       	3.188066e-03
2.01811       	3.219321e-03
2.02136       	3.251301e-03
2.02466       	3.306222e-03
2.028         	3.340190e-03
2.03136       	3.351708e-03
2.03471       	3.351708e-03
2.03807       	3.363386e-03
2.04143       	3.363386e-03
2.04479       	3.351626e-03
2.04814       	3.351626e-03
2.05149       	3.351626e-03
2.05484       	3.351626e-03
2.0582        	3.363554e-03
2.06158       	3.375610e-03
2.06497       	3.387796e-03
2.06838       	3.412524e-03
2.07182       	3.437709e-03
2.07529       	3.476335e-03
2.07881       	3.515989e-03
2.08237       	3.556715e-03
2.08597       	3.598558e-03
2.08962       	3.656135e-03
2.09331       	3.685740e-03
2.09701       	3.700783e-03
2.10072       	3.716013e-03
2.10446       	3.731432e-03
2.10814       	3.685365e-03
2.11177       	3.625440e-03
2.11535       	3.581584e-03
2.1189        	3.552817e-03
2.12243       	3.524394e-03
2.12595       	3.524394e-03
2.12947       	3.524394e-03
2.133         	3.524394e-03
2.13654       	3.538779e-03
2.14012       	3.582831e-03
